"Finished","ID","NumParamML_1_1","NumParamML_2_1","NumParamML_3_1","StateBio100k_1_1","StateBio100k_2_1","StateBio100k_3_1","PHEIC10k_1_1","PHEIC10k_2_1","PHEIC10k_3_1","mRNA_1_1","mRNA_2_1","DiseaseSurveil_1_1","DiseaseSurveil_2_1","MaxCompute_1_1","MaxCompute_2_1","MaxCompute_3_1","HumanExtReasons","HumanExtReasons_8_TEXT"
"True","PZk9lx0pOnk",7e+06,1.4e+07,4.5e+07,0.003,0.002,0.001,0,3,6,8e+06,4e+07,12,27,8000,70000,690000,"Nuclear Weapons",""
"True","PGirSmcR7br",1e+21,1e+27,1e+201,0,0,0,0,1,5,100,1000,0,5,1e+30,1e+36,1e+201,"Nuclear Weapons",""
"True","PtWhGuZlYGx",1.5e+14,1.5e+20,NA,0,0,1,0,2,4,20,1e+05,15,30,30000,60000,1e+05,"Nuclear Weapons",""
"True","PduNwZqpLoY",8e+06,1.2e+07,2e+07,1,0,0,2,2,2,5e+07,7.5e+08,35,50,40,55,60,"Nuclear Weapons",""
"True","P4UwLl2wr2k",1e+14,1e+20,1e+60,0,1,3,0,2,5,5e+09,5.5e+09,50,55,1e+08,1e+13,1e+100,"Artificial Intelligence",""
"True","Pu0qkcoRyHY",1.8e+11,2.25e+11,4.5e+11,0,0,1,3,3,4,0,60,35,70,100,300,1000,"Nuclear Weapons",""
"True","PXqGWSxUXUO",1.2e+14,3e+14,4e+14,0,0,1,0,2,6,3e+05,6e+06,0,3,NA,NA,NA,"Other","Environmental changes"
"True","P8eSYyEn626",1e+05,1e+06,1e+07,1,2,5,5,7,20,5e+07,1e+09,30,70,5e+06,5e+07,5e+10,"Nuclear Weapons",""
"True","P77wpEGVPzD",1e+11,1e+14,1e+17,5e-04,7e-04,0.001,0.5,0.8,1.5,5e+09,6e+09,0.3,1.2,1e+26,1e+28,1e+38,"Nuclear Weapons",""
"True","PymVYTYjHpk",9e+06,1.7e+07,5.2e+07,1000,10000,50000,100,1000,10000,5e+07,7e+07,30000,85000,2000,65000,1e+05,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PMwPHSHdDSj",2e+13,3e+13,5e+13,0,0,2,1,4,10,3,20,5,25,1000,10000,1e+05,"Nuclear Weapons",""
"True","PUw1vCkEbdO",1e+14,1e+19,1e+100,0,0,1,1,4,14,1000,5e+07,1,2,1e+11,1e+14,1e+29,"Nuclear Weapons",""
"True","PRlEc5osllQ",1,1,1,1,1,1,1,4,10,1,2,3,15,2,2.52,2.9,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PNVn04f1hux",1e+07,12600000,2e+07,3,5,8,2,4,8,1.6e+07,3e+07,20,30,39785,45768,65894,"Nuclear Weapons",""
"True","P0vyxKRonUq",8e+13,1.2e+14,5e+14,1,1,2,0,5,8,2000,1e+06,0.1,0.25,40,60,100,"Nuclear Weapons",""
"True","PiiUvn24MT1",6.5e+13,8.43e+15,1e+20,0,0,0,0,1,5,3000,250000,4,8,10,80,160,"Other non-anthropogenic causes",""
"True","PrkDZuA2BNZ",7,8.4,15,0,1,2,0,1,3,24,30,30,40,90,500,1000,"Natural Pathogens (e.g. natural pandemics)",""
"True","PeT0WiiAZUl",Inf,1.5e+14,1e+15,0,0,0,0,2,14,1,20,20,60,2.2e+25,2.2e+26,2.2e+26,"Other","Climate change"
"True","PUOzUAUoIrD",145,170,200,0,2,5,10000,1e+05,2500000,8e+07,1e+08,12,30,4,6,15,"Other","Climate change"
"True","PAuUS3lBNMO",4e+06,9e+06,1e+10,1,3,5,0,2,4,3e+09,5e+09,50,100,5e+06,1.5e+07,1e+10,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PzD5sWZOadM",5e+13,8.43e+15,1.00843e+18,0,0,0,1,0,1,3e+09,4e+09,1,5,1.5e+07,2.5e+07,3.5e+07,"Nuclear Weapons",""
"True","PigRGwrg4dh",2.3,5,10.5,2,2,1,2,3,6,2e+08,2.5e+08,12,9,0.3,0.4,0.55,"Nuclear Weapons",""
"True","PhuEnQRJ1qi",1e+13,1e+23,1e+26,0,1,2,0,1,4,1e+06,1e+08,0,0,50,45,30,"Other","Climate change "
"True","PZE3puRlDvT",20,40,80,0,0,0,1,5,10,75,70,50,100,36,72,576,"Other","volcanic erution"
"True","PigYLRnvHTn",1e+09,1e+12,1e+14,0,0,0,0,2,5,2e+09,1.5e+09,5,1,3000,135000,1e+06,"Natural Pathogens (e.g. natural pandemics)",""
"True","PyQ1nm0OscF",1e+16,1e+24,1e+30,0,0,0,1,3,8,0,1000,20,80,1e+15,1e+27,1e+67,"Other","Climate change"
"True","P47C0i6e3QU",1.5e+13,1.5e+14,2e+15,0,1,3,0,1,2,500,20000,15,40,39.78,42.33,45.59,"Nuclear Weapons",""
"True","Ple0cQUY2l0",6e+06,8430000,1e+14,0,0,1,0,1,2,0,2e+05,0,1,40000,1.5e+10,4e+13,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PFqxodhHIsn",2e+12,1e+15,1e+20,0,0,1,1,5,25,1,10,5,85,1e+07,1e+08,1e+12,"Other non-anthropogenic causes",""
"True","PMKzBhSlDS4",1.5e+13,1e+14,1.74e+14,1,0,0,0,0,1,0,0,0,1,35,45,55,"Other non-anthropogenic causes",""
"True","PgUt4xY0psJ",6e+06,8500000,1.7e+07,250,1000,2000,6e+06,1e+07,1.6e+07,1.8e+11,3e+11,10,75,4200000,5880000,52800000,"Nuclear Weapons",""
"True","P6yHFyeXeZy",5.4e+11,6e+11,8e+11,0,0,0,0,1,2,500,50000,50,80,36,43,50,"Other","It's not going to be any one thing."
"True","PSzNbO4h3yE",6e+06,9e+06,1e+08,1,2,3,0,5,20,2000,80000,5,55,40,30,10,"Artificial Intelligence",""
"True","PwTtMCm7vCB",1.5e+14,2e+15,1e+31,0,0.2,1,0,2,6,1000,1e+05,0.5,50,5e+10,2.5e+11,1e+13,"Other","human stupidity"
